project_id,start_date,end_date,budget_usd,team_size,complexity,risk_level,stakeholder_engagement_score,business_value,duration_days,success
39,2021-11-28,2022-06-15,80142.21,13,4,4,4,95.42,199,0
40,2021-10-01,2022-04-15,146093.98,18,7,5,7,121.21,196,0
41,2021-06-28,2022-06-02,158643.81,9,1,3,5,219.23,339,1
42,2021-06-27,2021-10-17,78244.91,16,3,5,1,43.49,112,0
43,2021-12-15,2022-08-22,170517.26,12,1,4,7,269.72,250,0
44,2020-09-01,2021-08-18,147313.88,14,6,3,7,111.33,351,0
45,2020-05-31,2020-12-16,125925.99,15,2,4,4,221.26,199,0
46,2021-11-06,2022-10-24,138611.34,18,8,4,5,71.82,352,0
47,2021-05-25,2021-10-16,114840.63,20,4,1,9,20.74,144,0
48,2022-06-01,2023-05-31,189208.92,13,3,4,7,138.02,364,0
49,2023-04-22,2024-01-06,145333.58,17,4,3,1,169.09,259,1
50,2020-01-29,2020-10-04,126765.73,13,3,1,1,133.47,249,1
51,2022-03-13,2022-12-14,140888.95,8,4,1,4,111.08,276,0
52,2020-05-08,2020-09-15,200608.7,7,8,3,6,133.21,130,0
53,2020-05-08,2021-01-14,165147.3,10,8,1,8,42.91,251,0
54,2022-12-13,2023-07-09,142486.79,11,2,3,1,162.85,208,1
55,2022-01-26,2022-08-18,177506.18,9,5,5,10,187.22,204,0
56,2020-09-30,2021-01-31,217476.54,10,7,1,10,245.62,123,0
57,2020-12-01,2021-04-24,94646.71,12,8,5,9,7.98,144,0
58,2021-01-23,2021-08-02,184923.1,16,1,1,1,197.4,191,1
59,2022-12-02,2023-09-26,160415.08,15,1,4,2,146.06,298,0
60,2021-06-27,2022-03-08,173046.17,14,7,3,10,111.11,254,0
61,2022-06-07,2023-02-25,187734.7,5,5,4,5,205.36,263,0
62,2020-09-14,2020-12-19,230582.75,19,5,5,1,140.96,96,0
63,2023-09-07,2024-02-09,50000.0,8,6,3,3,32.68,155,0
64,2020-02-27,2020-08-13,244299.21,10,2,3,5,227.42,168,1
65,2020-10-18,2021-03-09,233867.84,10,3,5,9,285.73,142,0
66,2023-02-17,2023-10-23,204535.84,12,7,3,3,89.54,248,0
67,2022-02-18,2022-08-22,224189.16,13,9,3,3,164.61,185,0
68,2021-03-06,2021-10-06,94012.07,5,3,1,8,42.73,214,0
69,2023-01-11,2023-06-10,107669.6,16,10,2,7,181.94,150,0
70,2020-04-01,2021-03-18,145601.48,16,10,4,4,73.02,351,0
71,2021-02-02,2021-09-17,142864.88,17,6,2,3,130.71,227,1
72,2021-09-03,2022-07-20,145452.2,7,6,3,7,111.67,320,0
73,2022-06-27,2022-07-30,199401.26,11,9,2,6,168.85,33,0
74,2021-09-25,2022-05-01,71020.64,10,6,1,5,22.35,218,0
75,2020-03-25,2020-12-18,219362.61,6,10,5,4,103.25,268,0
76,2020-07-22,2021-02-02,109413.39,15,2,5,4,176.21,195,0
77,2020-11-20,2021-06-09,107162.33,18,10,2,10,110.45,201,0
78,2022-02-13,2022-10-12,171467.66,19,5,1,8,155.55,241,1
79,2022-08-22,2022-11-30,108826.62,10,7,5,5,45.8,100,0
80,2022-12-07,2023-06-03,86012.87,19,10,2,5,0.0,178,0
81,2021-10-01,2022-08-11,159766.55,6,9,2,6,116.23,314,0
82,2023-03-01,2023-07-24,110662.95,14,1,4,10,152.97,145,0
83,2022-08-30,2023-08-17,110919.51,19,6,1,5,197.08,352,1
84,2022-05-18,2022-09-17,174441.21,17,7,4,2,114.31,122,0
85,2023-04-19,2023-08-29,213173.49,19,1,2,2,287.08,132,1
86,2023-03-13,2023-10-26,106115.61,7,7,4,8,125.06,227,0
87,2023-06-05,2023-10-22,195207.31,8,1,4,10,274.74,139,0
88,2022-08-12,2023-08-06,170829.33,5,7,2,1,124.14,359,0
89,2022-03-02,2022-07-10,128623.26,18,8,5,1,85.04,130,0
90,2021-12-20,2022-07-20,152461.27,17,2,3,6,157.75,212,1
91,2022-06-28,2023-06-26,231710.71,17,2,5,8,215.34,363,0
92,2021-01-08,2021-07-16,155489.08,17,6,1,1,145.31,189,1
93,2021-07-14,2021-11-02,147695.65,20,1,5,6,129.87,111,0
94,2023-08-22,2023-10-26,125115.54,8,7,2,3,0.0,65,0
95,2020-06-18,2021-03-12,175739.31,18,5,4,1,124.55,267,0
96,2023-01-24,2023-10-24,199583.51,19,5,1,10,159.66,273,1
97,2023-05-06,2024-02-10,262699.7,5,5,1,8,284.19,280,1
98,2020-09-13,2021-06-24,208268.21,6,8,1,6,165.19,284,0
99,2023-08-09,2024-06-15,158614.3,18,3,4,1,103.01,311,0
100,2022-03-27,2022-05-17,195491.44,16,2,5,4,249.12,51,0
101,2021-01-22,2021-10-08,235140.43,7,5,4,6,316.45,259,0
102,2022-08-31,2023-03-02,117202.32,7,10,3,4,84.71,183,0
103,2021-01-03,2021-06-01,160519.18,8,9,1,3,151.79,149,0
104,2022-07-06,2023-01-17,146823.8,9,5,2,3,115.22,195,0
105,2020-07-20,2021-03-05,95751.5,16,5,4,1,119.94,228,0
106,2021-01-18,2021-05-02,151475.72,10,8,1,9,36.91,104,0
107,2021-01-05,2021-04-23,82588.8,20,1,4,4,107.19,108,0
108,2021-07-09,2022-06-22,181414.68,19,8,4,10,130.33,348,0
109,2022-08-12,2022-11-22,222247.11,13,9,5,10,200.04,102,0
110,2023-11-08,2024-06-24,198801.37,10,10,4,10,122.94,229,0
111,2020-01-24,2020-12-20,147153.3,6,10,2,7,169.96,331,0
112,2020-05-10,2020-10-20,101380.78,11,6,3,5,45.62,163,0
113,2021-01-12,2021-03-30,73796.68,20,3,3,10,105.01,77,0
114,2020-04-08,2020-11-11,176473.95,6,7,4,4,143.61,217,0
115,2022-07-20,2023-02-05,177064.94,20,10,4,5,0.0,200,0
116,2022-01-04,2022-06-21,91299.95,14,6,4,2,76.92,168,0
117,2020-05-03,2021-01-30,115621.6,11,7,3,1,100.06,272,0
118,2021-08-17,2022-07-26,213624.02,18,6,4,10,211.11,343,0
119,2022-01-09,2022-06-13,184343.94,6,4,5,2,109.27,155,0
120,2023-03-18,2023-11-09,232109.76,17,4,4,2,224.66,236,0
121,2020-07-28,2021-03-12,122810.65,10,1,2,8,174.57,227,1
122,2021-07-16,2022-02-17,178444.9,11,4,2,3,172.61,216,1
123,2023-12-06,2024-01-22,117167.48,18,5,3,8,86.25,47,0
124,2022-02-21,2022-10-06,191660.02,7,2,2,1,212.96,227,1
125,2022-12-01,2023-06-01,50000.0,20,1,3,2,13.67,182,0
126,2022-12-18,2023-05-28,169502.97,7,10,2,9,127.96,161,0
127,2021-12-06,2022-11-26,189266.88,16,10,3,1,90.78,355,0
128,2022-11-26,2023-06-08,95127.12,14,4,1,4,93.4,194,0
129,2022-02-17,2022-05-16,160614.77,7,10,2,6,103.87,88,0
130,2020-03-27,2020-10-20,153873.74,13,4,4,2,278.35,207,0
131,2022-12-03,2023-06-03,128309.72,11,5,3,3,60.26,182,0
132,2022-05-22,2022-11-29,143460.37,8,7,3,2,94.11,191,0
133,2020-01-12,2020-10-09,148189.5,20,6,5,5,94.26,271,0
134,2022-02-09,2022-07-24,50000.0,9,8,1,8,0.0,165,0
135,2020-11-03,2021-07-26,187023.48,15,2,1,10,136.44,265,1
136,2023-01-09,2023-03-26,145954.98,6,6,4,9,86.85,76,0
137,2020-02-02,2020-07-08,111603.72,19,8,3,5,85.66,157,0
138,2023-04-21,2023-10-25,203601.12,11,7,1,5,181.22,187,0
139,2023-02-26,2023-04-09,166777.33,11,7,1,7,196.1,42,0
140,2022-03-17,2022-08-12,183050.07,17,7,5,6,63.35,148,0
141,2020-10-02,2021-08-30,64919.55,13,2,4,2,78.53,332,0
142,2023-04-13,2024-02-25,136750.36,13,9,4,1,50.73,318,0
143,2023-10-27,2024-09-11,83862.4,13,5,1,2,29.76,320,0
144,2023-04-23,2023-09-15,166373.8,17,3,2,1,78.45,145,0
145,2021-03-20,2021-07-15,153720.22,10,1,5,4,158.72,117,0
146,2021-05-03,2021-10-04,152053.96,7,3,2,6,154.65,154,1
147,2020-10-13,2021-05-05,212981.86,7,9,5,6,158.78,204,0
148,2023-07-28,2023-10-18,194583.33,10,4,2,7,180.42,82,1
149,2021-09-29,2022-02-16,175280.86,18,8,4,10,192.24,140,0
150,2022-02-09,2022-05-14,115829.17,14,3,3,3,89.43,94,0
151,2020-04-04,2021-04-01,106175.45,10,2,4,10,232.61,362,0
152,2023-06-04,2023-09-15,149719.27,9,5,1,6,111.23,103,0
153,2023-07-17,2024-01-09,223328.12,15,5,2,8,214.25,176,1
154,2020-10-23,2021-08-09,113710.32,18,5,1,6,181.66,290,1
155,2023-09-14,2024-07-03,63359.13,16,3,4,10,97.35,293,0
156,2022-11-09,2023-04-19,184997.96,6,5,2,9,227.98,161,1
157,2021-08-30,2021-11-16,151600.21,15,9,5,2,64.49,78,0
158,2023-12-05,2024-03-20,160564.41,16,8,3,6,48.43,106,0
159,2021-03-26,2022-02-12,154369.56,6,10,4,9,95.52,323,0
160,2023-06-26,2023-11-19,182526.24,13,9,4,10,134.92,146,0
161,2020-06-29,2020-09-15,119063.75,13,10,3,2,0.0,78,0
162,2020-11-19,2021-04-07,154457.24,8,6,4,5,160.99,139,0
163,2022-10-01,2023-04-28,162207.43,5,10,2,1,40.73,209,0
164,2023-07-08,2023-09-25,107765.96,16,2,2,3,143.51,79,1
165,2022-01-19,2022-04-30,104871.19,14,9,4,1,83.4,101,0
166,2020-05-19,2021-03-30,190838.59,7,9,2,10,168.27,315,0
167,2022-10-17,2022-11-19,184598.43,20,7,4,8,219.43,33,0
168,2021-08-21,2021-12-03,87235.98,14,1,4,10,146.32,104,0
169,2022-06-08,2022-09-30,212586.15,8,1,5,4,194.62,114,0
170,2022-04-23,2023-04-09,105912.62,11,3,3,9,51.96,351,0
171,2021-11-27,2022-01-16,224499.73,9,4,2,8,219.74,50,1
172,2023-03-22,2023-11-15,174554.97,17,3,3,8,201.46,238,1
173,2022-07-14,2022-09-24,154511.69,12,2,5,9,151.99,72,0
174,2020-05-29,2020-07-26,147406.13,19,10,1,2,15.62,58,0
175,2023-02-08,2023-09-06,206379.39,10,6,4,10,199.82,210,0
176,2020-01-26,2020-12-25,152001.77,18,7,2,9,117.69,334,0
177,2022-08-14,2022-12-24,88300.8,10,2,1,10,114.5,132,0
178,2022-06-05,2023-03-27,113487.66,8,9,1,1,0.0,295,0
179,2023-02-15,2023-11-30,50000.0,13,8,2,8,49.75,288,0
180,2021-11-04,2022-07-25,154315.22,16,8,1,8,106.79,263,0
181,2022-07-17,2022-11-24,214095.96,12,4,4,7,236.58,130,0
182,2023-06-06,2023-10-04,126480.43,20,5,4,6,129.43,120,0
183,2022-02-02,2022-05-11,98854.79,18,10,4,9,49.52,98,0
184,2020-05-01,2020-09-13,208200.12,15,7,5,6,205.03,135,0
185,2023-09-12,2023-10-22,123629.4,20,10,1,5,109.87,40,0
186,2021-04-14,2021-05-26,239468.81,6,7,4,1,164.93,42,0
187,2020-10-14,2021-02-25,180956.3,16,5,5,10,95.44,134,0
188,2021-06-09,2022-02-19,95072.89,12,2,4,2,58.67,255,0
189,2023-03-22,2023-10-05,179381.39,10,3,4,9,81.38,197,0
190,2021-08-14,2022-06-29,221673.91,19,1,2,1,210.34,319,1
191,2020-02-11,2020-06-19,98115.99,15,1,4,4,109.96,129,0
192,2020-10-01,2021-06-05,149404.6,9,8,4,8,245.06,247,0
193,2020-07-26,2021-06-27,147785.84,16,7,4,4,68.88,336,0
194,2022-02-18,2022-10-16,224975.9,5,3,4,8,237.09,240,0
195,2020-06-15,2021-04-17,149491.74,10,10,4,6,42.2,306,0
196,2020-04-21,2020-12-29,176865.17,16,9,3,4,49.11,252,0
197,2023-10-05,2024-04-08,140967.92,18,9,3,9,106.69,186,0
198,2023-02-27,2023-06-09,132433.8,17,3,5,4,79.15,102,0
199,2022-01-05,2022-11-05,135829.05,18,2,5,2,113.21,304,0
200,2022-03-23,2022-05-31,184370.85,18,3,5,4,162.61,69,0
201,2020-08-04,2021-04-25,147239.44,15,8,3,4,0.0,264,0
202,2023-11-06,2024-04-07,173223.15,16,7,5,1,80.21,153,0
203,2020-01-25,2020-12-04,210970.31,12,7,2,8,194.88,314,0
204,2020-03-08,2020-09-06,122025.25,16,3,1,3,111.08,182,0
205,2022-09-05,2023-02-28,110012.32,18,2,2,1,94.5,176,0
206,2022-10-04,2023-05-17,146902.18,19,6,1,7,92.87,225,0
207,2020-08-22,2021-03-12,173930.81,13,7,1,7,112.96,202,0
208,2020-10-18,2021-06-16,177092.78,16,10,4,8,170.93,241,0
209,2022-10-19,2023-09-15,136190.04,6,10,5,8,29.78,331,0
210,2021-12-02,2022-11-07,150422.28,19,4,1,2,109.43,340,0
211,2021-12-28,2022-01-27,170896.69,11,10,4,3,53.49,30,0
212,2021-07-09,2021-12-24,114154.38,16,5,2,9,111.18,168,0
213,2020-02-02,2020-09-14,232563.64,15,3,4,6,284.93,225,0
214,2022-11-01,2023-07-08,187499.31,11,2,1,2,115.63,249,0
215,2020-07-31,2021-02-08,217011.86,14,7,4,8,144.91,192,0
216,2023-03-08,2023-05-27,77969.72,5,1,4,4,133.28,80,0
217,2023-12-16,2024-09-13,51273.44,7,3,2,2,109.29,272,0
218,2021-09-15,2021-11-04,75354.78,13,7,2,7,173.18,50,0
219,2022-02-09,2022-08-29,127990.33,11,4,1,9,97.75,201,0
220,2023-05-26,2023-10-21,146003.58,19,8,4,3,154.79,148,0
221,2021-10-25,2022-04-01,98395.76,11,6,3,8,39.87,158,0
222,2022-04-01,2022-08-14,187427.24,16,3,4,9,184.9,135,0
223,2020-11-03,2021-06-15,277484.57,16,7,1,10,163.81,224,0
224,2023-04-13,2023-12-24,120591.0,8,7,3,7,54.75,255,0
225,2023-03-18,2023-09-04,180630.42,9,2,4,10,187.54,170,0
226,2022-08-07,2023-06-04,140490.67,9,10,2,9,64.66,301,0
227,2021-07-01,2021-11-26,262462.12,20,1,1,6,336.6,148,1
228,2022-03-18,2022-05-20,219487.25,9,2,4,1,172.89,63,0
229,2023-11-18,2024-05-17,124439.92,6,4,2,1,136.87,181,1
230,2020-03-14,2020-05-21,132609.6,9,4,1,10,132.77,68,1
231,2020-10-24,2021-08-07,160859.11,18,2,3,5,156.57,287,1
232,2022-07-08,2023-04-30,74527.71,20,4,3,7,98.8,296,0
233,2021-12-31,2022-02-05,165053.47,18,5,1,1,13.85,36,0
234,2022-05-26,2023-03-14,168792.35,16,4,2,10,171.15,292,1
235,2022-02-16,2022-06-28,115931.19,20,10,3,5,29.8,132,0
236,2023-11-19,2024-11-14,186034.18,8,10,1,3,56.39,361,0
237,2021-03-05,2021-09-29,234559.53,13,6,4,3,171.54,208,0
238,2020-07-18,2021-06-20,146574.08,15,7,1,5,113.4,337,0
239,2023-12-18,2024-10-01,126671.96,15,9,1,8,112.61,288,0
240,2022-12-21,2023-12-18,179235.62,14,10,1,2,79.75,362,0
241,2020-12-07,2021-06-12,189758.77,7,6,2,10,190.22,187,1
242,2022-05-15,2022-06-23,168042.91,20,6,5,7,90.12,39,0
243,2022-12-04,2023-04-28,125879.32,19,9,4,5,0.0,145,0
244,2022-03-13,2022-08-06,132615.03,6,5,2,7,124.11,146,1
245,2023-01-17,2023-08-16,86672.07,12,6,1,9,88.78,211,0
246,2020-02-03,2020-10-25,111671.68,13,1,4,7,125.41,265,0
247,2021-10-07,2022-05-18,160286.48,8,4,2,10,74.77,223,0
248,2020-08-20,2021-07-15,119581.36,8,2,3,3,180.71,329,1
249,2022-02-06,2022-05-26,133841.5,14,7,4,8,133.41,109,0
250,2020-02-06,2020-05-08,69236.59,17,9,5,5,27.67,92,0
251,2020-10-17,2021-10-14,171683.93,20,7,5,1,94.61,362,0
252,2020-07-16,2020-10-01,139101.23,5,4,4,2,11.16,77,0
253,2022-06-13,2022-09-27,201166.22,12,5,4,7,245.82,106,0
254,2023-07-02,2023-12-28,143293.24,12,6,1,5,161.2,179,1
255,2023-01-09,2023-06-08,152336.19,10,9,1,1,39.31,150,0
256,2020-05-16,2021-03-16,120245.59,8,3,1,1,81.51,304,0
257,2020-07-08,2020-08-20,52514.18,16,10,4,3,0.0,43,0
258,2020-05-09,2021-01-16,123498.7,12,4,5,8,66.97,252,0
259,2020-07-28,2020-11-27,96982.22,19,3,3,7,91.76,122,0
260,2023-10-24,2024-07-16,104575.59,13,10,5,7,0.3,266,0
261,2020-10-18,2021-03-02,148251.23,10,2,1,8,129.92,135,1
262,2023-11-01,2024-07-01,78680.14,10,2,2,8,156.83,243,1
263,2023-10-03,2023-11-08,84873.15,6,9,5,1,0.0,36,0
264,2020-06-17,2020-10-25,90462.1,12,7,1,10,59.78,130,0
265,2022-03-15,2022-06-01,141472.86,17,4,4,5,140.99,78,0
266,2020-06-25,2020-09-03,190702.59,19,3,3,2,237.89,70,1
267,2020-11-19,2021-05-26,123992.69,11,3,2,5,0.0,188,0
268,2021-05-23,2021-11-12,246730.1,6,5,5,10,170.31,173,0
269,2022-03-14,2022-05-20,147390.21,13,8,1,6,58.87,67,0
270,2023-02-12,2023-05-12,97125.72,15,3,5,10,71.57,89,0
271,2022-11-19,2023-04-11,142095.5,6,5,3,1,110.02,143,0
272,2023-08-06,2023-12-09,138079.42,7,5,2,7,124.17,125,1
273,2020-05-26,2021-01-19,163975.0,19,10,5,5,75.71,238,0
274,2023-07-21,2024-06-03,248103.89,5,2,3,5,151.01,318,1
275,2020-08-09,2020-11-09,212346.53,18,6,2,2,167.06,92,1
276,2020-12-06,2021-04-08,159393.02,7,4,5,8,211.22,123,0
277,2021-05-24,2022-05-09,214070.61,16,8,1,1,53.03,350,0
278,2021-05-29,2021-11-25,218763.23,20,5,3,2,236.52,180,1
279,2020-03-10,2021-01-26,221030.42,15,3,1,3,307.01,322,1
280,2023-10-13,2024-02-03,122136.26,9,1,3,9,24.31,113,0
281,2022-06-27,2022-12-01,232898.73,9,10,1,8,197.71,157,0
282,2021-07-10,2022-04-27,172641.04,19,3,1,10,210.1,291,1
283,2022-06-04,2022-12-05,131578.35,13,3,5,9,116.25,184,0
284,2022-02-04,2022-11-02,85663.02,9,10,5,1,89.66,271,0
285,2023-09-08,2023-12-30,68273.94,12,7,1,1,0.0,113,0
286,2020-04-01,2020-09-13,149486.17,18,9,3,1,91.79,165,0
287,2023-09-27,2024-04-24,137198.27,10,10,5,3,0.0,210,0
288,2021-02-27,2021-06-17,195902.01,19,2,5,7,164.24,110,0
289,2023-12-09,2024-01-08,143637.18,7,2,1,9,247.22,30,1
290,2021-12-11,2022-08-13,160883.53,19,2,3,4,137.4,245,1
291,2022-08-25,2023-04-19,171621.68,20,1,1,8,100.12,237,0
292,2020-10-01,2021-09-26,124213.46,8,2,4,4,201.72,360,0
293,2022-05-10,2023-02-16,135119.83,5,8,1,4,90.12,282,0
294,2020-02-13,2020-07-23,117314.9,12,1,3,6,88.68,161,0
295,2023-01-12,2023-04-13,243437.84,14,7,5,6,260.59,91,0
296,2021-03-09,2022-02-25,161870.49,16,6,5,5,81.7,353,0
297,2022-03-20,2022-09-10,84002.21,11,10,2,9,0.0,174,0
298,2020-04-03,2020-07-26,109425.57,14,9,1,10,78.7,114,0
299,2023-04-13,2023-09-06,127525.04,13,6,5,3,23.44,146,0
300,2023-11-30,2024-08-15,170536.19,6,7,4,9,120.57,259,0
301,2020-07-20,2021-05-01,165653.92,16,9,5,6,109.75,285,0
302,2021-05-13,2022-04-20,171552.04,12,2,4,8,212.74,342,0
303,2021-04-25,2022-04-08,84278.56,17,5,5,6,186.28,348,0
304,2020-11-25,2021-02-11,266064.53,11,6,5,5,199.02,78,0
305,2020-07-28,2021-01-19,198308.86,13,10,3,5,208.32,175,0
306,2021-09-09,2021-10-18,148171.59,17,1,5,8,118.16,39,0
307,2022-11-06,2023-06-14,123431.67,9,6,4,9,153.48,220,0
308,2020-04-16,2020-08-03,87907.55,17,7,3,9,65.38,109,0
309,2020-06-13,2021-02-28,218088.29,8,10,5,6,135.27,260,0
310,2021-08-29,2022-04-22,194481.7,19,2,3,7,178.38,236,1
311,2021-09-20,2022-06-05,95886.97,10,2,5,7,25.26,258,0
312,2023-04-30,2024-04-21,118970.69,19,4,2,4,106.78,357,0
313,2023-05-04,2024-04-16,91458.66,15,2,3,7,94.2,348,0
314,2023-08-24,2024-06-28,188743.14,17,7,4,1,138.83,309,0
315,2020-05-16,2020-06-22,204690.89,7,1,2,6,278.17,37,1
316,2022-08-10,2023-06-14,126893.05,5,8,5,7,159.51,308,0
317,2022-05-09,2022-11-13,109166.26,6,7,5,10,41.19,188,0
318,2023-01-22,2023-10-25,80269.24,9,5,2,6,95.12,276,0
319,2022-01-20,2022-05-10,189122.08,18,10,1,5,199.3,110,0
320,2023-01-16,2023-07-20,202197.56,15,3,2,4,231.05,185,1
321,2020-06-09,2020-08-25,91498.58,5,4,4,1,90.79,77,0
322,2020-05-27,2020-10-18,134739.18,16,7,5,6,70.18,144,0
323,2021-08-07,2021-09-17,158802.51,10,7,3,2,105.31,41,0
324,2021-03-31,2022-03-30,196177.88,19,3,1,6,344.93,364,1
325,2023-01-16,2023-11-28,107619.3,18,2,3,2,83.72,316,0
326,2022-11-03,2023-03-03,110836.02,13,8,2,2,56.91,120,0
327,2023-08-31,2024-07-16,50000.0,8,9,5,9,0.0,320,0
328,2023-02-18,2023-05-13,92085.62,14,9,4,8,29.26,84,0
329,2022-08-09,2023-02-18,149103.73,6,5,2,10,115.72,193,0
330,2022-04-12,2022-07-22,224507.25,10,3,2,4,190.47,101,1
331,2021-12-16,2022-11-26,100177.83,15,10,3,6,9.88,345,0
332,2022-01-02,2022-05-24,122924.83,20,9,3,3,36.32,142,0
333,2022-07-21,2022-10-27,124849.44,16,1,5,7,246.42,98,0
334,2020-10-08,2020-11-20,117658.21,16,4,3,4,88.34,43,0
335,2022-03-11,2022-07-20,185930.39,18,1,1,9,232.7,131,1
336,2023-12-21,2024-10-21,102114.92,14,6,5,5,86.61,305,0
337,2021-04-15,2022-02-03,117949.54,18,8,4,9,87.34,294,0
338,2023-08-01,2024-03-27,213302.06,18,8,1,1,89.39,239,0
339,2023-07-24,2024-03-07,171452.25,5,5,2,9,173.23,227,1
340,2023-09-10,2024-01-18,99515.98,13,9,3,5,0.0,130,0
341,2023-06-05,2024-03-14,175697.31,15,3,4,1,140.0,283,0
342,2022-06-09,2022-12-13,140061.76,6,10,5,6,70.68,187,0
343,2021-08-18,2022-05-05,161946.79,11,6,3,6,167.81,260,1
344,2021-10-09,2022-04-07,102371.2,20,2,1,3,161.73,180,1
345,2021-07-27,2021-09-25,135313.95,14,8,2,5,121.39,60,0
346,2021-10-15,2022-07-27,145426.91,17,8,2,9,105.89,285,0
347,2020-09-13,2020-11-01,155584.52,18,2,3,9,88.68,49,0
348,2023-03-06,2023-12-21,141237.2,12,6,5,5,0.0,290,0
349,2023-05-16,2023-11-10,129526.6,15,1,5,2,153.03,178,0
350,2021-04-08,2021-07-21,201252.61,6,8,3,9,118.17,104,0
351,2023-03-09,2023-08-09,147913.49,9,9,3,9,77.11,153,0
352,2022-10-25,2023-06-26,67564.34,16,5,3,9,17.63,244,0
353,2021-02-27,2022-02-08,167737.89,20,6,4,4,74.29,346,0
354,2020-12-14,2021-08-30,97257.24,19,3,3,4,142.15,259,1
355,2022-07-30,2023-05-06,194133.17,18,1,4,3,214.58,280,0
356,2023-07-30,2023-11-30,201823.64,17,9,1,10,165.15,123,0
357,2021-08-09,2022-02-24,157905.57,14,7,3,6,112.2,199,0
358,2022-10-03,2022-12-12,183582.91,13,6,3,8,138.92,70,1
359,2023-12-28,2024-08-02,226057.1,15,4,5,6,225.85,218,0
360,2023-05-28,2024-01-22,180552.28,16,9,3,9,179.09,239,0
361,2022-03-30,2022-10-25,102606.12,11,10,4,8,18.57,209,0
362,2022-01-09,2022-12-01,198457.41,12,1,4,10,290.21,326,0
363,2022-05-23,2022-08-20,176046.16,10,8,3,1,68.71,89,0
364,2022-02-25,2022-04-25,170829.65,12,3,4,3,118.65,59,0
365,2023-10-29,2024-07-10,127313.07,13,9,3,8,139.54,255,0
366,2023-08-07,2023-12-09,181346.98,15,8,1,4,172.41,124,0
367,2021-03-13,2021-12-06,177215.96,16,7,4,6,142.37,268,0
368,2022-10-17,2023-04-30,190647.38,16,1,4,2,215.5,195,0
369,2022-02-25,2022-10-29,208809.22,10,6,4,6,127.15,246,0
370,2022-07-30,2023-05-28,90533.71,18,3,4,2,62.33,302,0
371,2022-05-05,2022-11-18,202145.19,6,7,3,2,120.97,197,0
372,2021-03-25,2021-09-28,179868.96,9,9,3,3,150.44,187,0
373,2023-09-12,2023-12-16,190261.15,18,5,1,5,194.54,95,1
374,2022-12-13,2023-10-18,239916.41,12,1,3,4,340.67,309,1
375,2022-03-27,2022-11-12,124838.19,13,4,4,2,118.83,230,0
